Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao,Max_Cargamento_Trafo_pct
60,0,0,0,101.656982214885,50.93349621998723,561.9182823602479,-52.81174078836615,9.645733946929093
70,0,145,145,201.81699789639967,77.95073456232139,1195.1576362762069,-2015.446378330076,9.645732837804111
80,0,0,0,120.52236965500542,50.65481030072629,786.2279164102599,-4048.041081630523,9.645732794253904
90,0,147,147,124.12656313229759,47.04634113498822,740.7500411193397,-5980.053977567781,11.12631297609931
100,0,425,425,238.55793360633982,55.41672081797863,1282.2390734965825,-6304.038322367028,11.62279944483936
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.6570144289648,77.95073456232139,817.1484227589496,4295.892551399245,9.645736940315938
20,0,0,0,101.65700033323964,68.00748336562485,678.3782076316838,3230.692524878066,9.645735789129741
30,0,0,0,101.65700129078398,63.023996838404614,655.8547828119615,2616.250946108468,9.645735690530694
40,0,0,0,101.65699652082037,61.19282709265532,633.1171153694271,1708.348822831398,9.645735217058084
50,0,0,0,79.42256275258163,55.80296697478969,596.2832018288103,-723.588627237176,5.739950669035468
60,0,0,0,75.06108678069991,55.696437694421256,556.4789299029283,-1776.473780074885,5.051285469280028
70,0,147,147,153.75229344093796,56.137053317455795,914.8559122989129,-3590.6777637033883,6.717989249987491
80,0,0,0,115.4469748558038,51.95799931905932,724.3468627373701,-4066.2630208736537,7.613255553450443
90,0,0,0,101.65697660074741,50.25840933175983,640.7102563477921,-2097.9710099144168,9.645732983988204
100,0,518,518,222.30170242234897,61.625321113087786,1257.9582273076596,-6503.976491464878,12.015862742951983
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65700833938415,77.53962589501212,764.664136787023,4141.417711430667,9.64573641510025
20,0,0,0,101.65700538065207,71.718915850822,715.6188067398571,3211.7549790633425,9.64573610001501
30,0,0,0,101.65699819456965,63.486910412595904,659.6594091527631,2615.1666798326232,9.645735750086269
40,0,0,0,101.65699274312844,52.77232390761446,558.451395097624,891.7590206297972,9.645734970735244
50,0,0,0,83.60070318751723,56.16229918083604,612.2050733149991,-717.6581433983031,5.741022147879381
60,0,0,0,101.65698645584796,53.359140465804835,581.0258773435279,-997.3642710620079,9.645734431408767
70,0,0,0,114.96187883959072,48.803295335923515,712.2300861078592,-3711.0317217328407,6.946050229197838
80,0,291,291,241.34373650051984,76.70017559572635,1412.7149189405127,-3921.7757173908144,9.645732809230305
90,0,0,0,101.65697679935009,52.87644991911171,674.3966275585841,-2095.2770185023105,9.645733158580738
100,0,585,585,329.954351083044,69.38540433290093,1766.0732181559863,-7251.000189899705,13.281714038958425
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65700556914705,76.70587562025766,757.3816830737749,4124.057129675563,9.645736447482886
20,0,0,0,88.07249586307509,66.14987808619118,672.312989962465,2975.1771047299203,8.223477984599615
30,0,0,0,81.11110137700234,57.81096716776639,571.910935581581,1608.7899448235864,7.277947875289812
40,0,0,0,76.62481522919619,52.75650848651845,526.9546983939134,588.781665146105,6.570861411378588
50,0,0,0,101.65698457885142,64.41005469369712,677.9785559649308,967.4580134487744,9.645734604710178
60,0,145,145,201.09376146039483,75.37723920941693,1237.49414315581,-1576.059649072296,9.645733546359944
